id|profile_id|level|message|timestamp
9447|ad48bf20-191|info|  Page 19: fetching from 2024-01-24 18:45 (attempt 1/3)|2026-03-05T16:02:27
9448|ad48bf20-191|info|  Page 19: got 10000 bars (2024-01-24 18:50:00+00:00 to 2024-04-09 20:50:00+00:00)|2026-03-05T16:02:29
9449|ad48bf20-191|info|  Page 20: fetching from 2024-04-09 20:50 (attempt 1/3)|2026-03-05T16:02:29
9450|ad48bf20-191|info|  Page 20: got 10000 bars (2024-04-09 20:55:00+00:00 to 2024-06-25 10:50:00+00:00)|2026-03-05T16:02:31
9451|ad48bf20-191|info|  Page 21: fetching from 2024-06-25 10:50 (attempt 1/3)|2026-03-05T16:02:31
9452|ad48bf20-191|info|  Page 21: got 10000 bars (2024-06-25 10:55:00+00:00 to 2024-09-09 15:25:00+00:00)|2026-03-05T16:02:32
9453|ad48bf20-191|info|  Page 22: fetching from 2024-09-09 15:25 (attempt 1/3)|2026-03-05T16:02:32
9454|ad48bf20-191|info|  Page 22: got 10000 bars (2024-09-09 15:30:00+00:00 to 2024-11-20 18:10:00+00:00)|2026-03-05T16:02:33
9455|ad48bf20-191|info|  Page 23: fetching from 2024-11-20 18:10 (attempt 1/3)|2026-03-05T16:02:33
9456|ad48bf20-191|info|  Page 23: got 10000 bars (2024-11-20 18:15:00+00:00 to 2025-02-10 10:55:00+00:00)|2026-03-05T16:02:34
9457|ad48bf20-191|info|  Page 24: fetching from 2025-02-10 10:55 (attempt 1/3)|2026-03-05T16:02:34
9458|ad48bf20-191|info|  Page 24: got 10000 bars (2025-02-10 11:00:00+00:00 to 2025-04-25 11:25:00+00:00)|2026-03-05T16:02:36
9459|ad48bf20-191|info|  Page 25: fetching from 2025-04-25 11:25 (attempt 1/3)|2026-03-05T16:02:36
9460|ad48bf20-191|info|  Page 25: got 10000 bars (2025-04-25 11:30:00+00:00 to 2025-07-11 15:45:00+00:00)|2026-03-05T16:02:37
9461|ad48bf20-191|info|  Page 26: fetching from 2025-07-11 15:45 (attempt 1/3)|2026-03-05T16:02:37
9462|ad48bf20-191|info|  Page 26: got 10000 bars (2025-07-11 15:50:00+00:00 to 2025-09-24 17:20:00+00:00)|2026-03-05T16:02:40
9463|ad48bf20-191|info|  Page 27: fetching from 2025-09-24 17:20 (attempt 1/3)|2026-03-05T16:02:40
9464|ad48bf20-191|info|  Page 27: got 10000 bars (2025-09-24 17:25:00+00:00 to 2025-12-08 22:45:00+00:00)|2026-03-05T16:02:43
9465|ad48bf20-191|info|  Page 28: fetching from 2025-12-08 22:45 (attempt 1/3)|2026-03-05T16:02:43
9466|ad48bf20-191|info|  Page 28: got 10000 bars (2025-12-08 22:50:00+00:00 to 2026-02-25 11:10:00+00:00)|2026-03-05T16:02:45
9467|ad48bf20-191|info|  Page 29: fetching from 2026-02-25 11:10 (attempt 1/3)|2026-03-05T16:02:45
9468|ad48bf20-191|info|  Page 29: got 1198 bars (2026-02-25 11:15:00+00:00 to 2026-03-05 15:00:00+00:00)|2026-03-05T16:02:46
9469|ad48bf20-191|info|Completed: 281198 total bars for TSLA in 47.7s (29 pages)|2026-03-05T16:02:46
9470|ad48bf20-191|info|Step 1 complete: 281198 bars in 48s (2020-02-05 15:05:00+00:00 to 2026-03-05 15:00:00+00:00)|2026-03-05T16:02:46
9471|ad48bf20-191|info|None|2026-03-05T16:02:46
9472|ad48bf20-191|info|STEP 2: Computing features|2026-03-05T16:02:46
9473|ad48bf20-191|info|--------------------------------------------------|2026-03-05T16:02:46
9474|ad48bf20-191|info|Computing all features for preset 'swing'|2026-03-05T16:02:46
9475|ad48bf20-191|info|Fetching options data for TSLA: 2020-02-05 to 2026-03-05 (1528 trading days, target_dte=26)|2026-03-05T16:02:46
9476|ad48bf20-191|info|Cache loaded: 1483 days from TSLA_options_daily_dte7-45.parquet|2026-03-05T16:02:46
9477|ad48bf20-191|info|Need to fetch 45 days from Theta (1483 cached)|2026-03-05T16:02:46
9478|ad48bf20-191|info|  Batch 1/3: 2022-03 (23 days, exp=2022-04-15)|2026-03-05T16:02:47
9479|ad48bf20-191|info|  Batch 2/3: 2025-03 (21 days, exp=2025-04-18)|2026-03-05T16:02:47
9480|ad48bf20-191|info|  Batch 3/3: 2026-03 (1 days, exp=2026-04-17)|2026-03-05T16:02:47
9481|ad48bf20-191|info|Theta fetch complete: 0 days with options data out of 45 requested (0.5s)|2026-03-05T16:02:47
9482|ad48bf20-191|info|Options data ready: 1483/1528 days (97% coverage) in 1.4s|2026-03-05T16:02:47
