file,symbol_type,symbol_name,line
options-bot/backend/routes/trading.py,FunctionDef,_is_process_alive,58
options-bot/backend/routes/trading.py,FunctionDef,_set_profile_status_sync,250
options-bot/backend/routes/trading.py,FunctionDef,_store_process_state,100
options-bot/backend/routes/trading.py,FunctionDef,_watchdog_check_once,168
options-bot/backend/routes/trading.py,FunctionDef,_watchdog_loop,136
options-bot/backend/routes/trading.py,FunctionDef,_watchdog_restart_profile,268
options-bot/backend/routes/trading.py,FunctionDef,start_watchdog,310
options-bot/backend/routes/trading.py,FunctionDef,stop_watchdog,327
options-bot/backend/schemas.py,ClassDef,BacktestRequest,225
options-bot/backend/schemas.py,ClassDef,BacktestResult,230
options-bot/backend/schemas.py,ClassDef,ErrorLogEntry,183
options-bot/backend/schemas.py,ClassDef,HealthCheck,171
options-bot/backend/schemas.py,ClassDef,ModelHealthEntry,190
options-bot/backend/schemas.py,ClassDef,ModelHealthResponse,203
options-bot/backend/schemas.py,ClassDef,ModelMetrics,87
options-bot/backend/schemas.py,ClassDef,ModelResponse,59
options-bot/backend/schemas.py,ClassDef,ModelSummary,28
options-bot/backend/schemas.py,ClassDef,PDTStatus,176
options-bot/backend/schemas.py,ClassDef,ProfileCreate,17
options-bot/backend/schemas.py,ClassDef,ProfileResponse,37
options-bot/backend/schemas.py,ClassDef,ProfileUpdate,23
options-bot/backend/schemas.py,ClassDef,SignalLogEntry,285
options-bot/backend/schemas.py,ClassDef,SystemStatus,156
options-bot/backend/schemas.py,ClassDef,TradeResponse,112
options-bot/backend/schemas.py,ClassDef,TradeStats,138
options-bot/backend/schemas.py,ClassDef,TradingProcessInfo,252
options-bot/backend/schemas.py,ClassDef,TradingStartRequest,266
options-bot/backend/schemas.py,ClassDef,TradingStartResponse,269
options-bot/backend/schemas.py,ClassDef,TradingStatusResponse,261
options-bot/backend/schemas.py,ClassDef,TradingStopRequest,273
options-bot/backend/schemas.py,ClassDef,TradingStopResponse,276
options-bot/backend/schemas.py,ClassDef,TrainRequest,74
options-bot/backend/schemas.py,ClassDef,TrainingLogEntry,100
options-bot/backend/schemas.py,ClassDef,TrainingQueueStatus,214
options-bot/backend/schemas.py,ClassDef,TrainingStatus,80
options-bot/data/alpaca_provider.py,ClassDef,AlpacaStockProvider,44
options-bot/data/alpaca_provider.py,FunctionDef,__init__,47
options-bot/data/alpaca_provider.py,FunctionDef,_init_clients,58
options-bot/data/alpaca_provider.py,FunctionDef,_timeframe_to_alpaca,78
options-bot/data/alpaca_provider.py,FunctionDef,get_historical_bars,96
options-bot/data/alpaca_provider.py,FunctionDef,get_latest_price,228
options-bot/data/alpaca_provider.py,FunctionDef,test_connection,249
options-bot/data/earnings_calendar.py,FunctionDef,_get_earnings_dates,82
options-bot/data/earnings_calendar.py,FunctionDef,has_earnings_in_window,22
options-bot/data/greeks_calculator.py,FunctionDef,_bs_d1_d2,42
options-bot/data/greeks_calculator.py,FunctionDef,compute_greeks,70
options-bot/data/greeks_calculator.py,FunctionDef,compute_greeks_vectorized,176
